id,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,outliercalcId,outlier
29,1,3,female,27.915708812260537,0,0,7.8792,Q,Third,woman,False,C,Queenstown,yes,True,1,1
30,0,3,male,30.72664459161148,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,1
31,0,1,male,40.0,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True,2,1
32,1,1,female,27.915708812260537,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,2,1
33,1,3,female,27.915708812260537,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,1,1
34,0,2,male,66.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,3,1
35,0,1,male,28.0,1,0,82.1708,C,First,man,True,C,Cherbourg,no,False,2,1
36,0,1,male,42.0,1,0,52.0,S,First,man,True,C,Southampton,no,False,2,1
37,1,3,male,30.72664459161148,0,0,7.2292,C,Third,man,True,C,Cherbourg,yes,True,1,1
38,0,3,male,21.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1
39,0,3,female,18.0,2,0,18.0,S,Third,woman,False,C,Southampton,no,False,1,1
40,1,3,female,14.0,1,0,11.2417,C,Third,child,False,C,Cherbourg,yes,False,1,1
41,0,3,female,40.0,1,0,9.475,S,Third,woman,False,C,Southampton,no,False,1,1
42,0,2,female,27.0,1,0,21.0,S,Second,woman,False,C,Southampton,no,False,3,1
43,0,3,male,30.72664459161148,0,0,7.8958,C,Third,man,True,C,Cherbourg,no,True,1,1
44,1,2,female,3.0,1,2,41.5792,C,Second,child,False,C,Cherbourg,yes,False,3,1
45,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,C,Queenstown,yes,True,1,1
46,0,3,male,30.72664459161148,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1
47,0,3,male,30.72664459161148,1,0,15.5,Q,Third,man,True,C,Queenstown,no,False,1,1
48,1,3,female,27.915708812260537,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,1,1
49,0,3,male,30.72664459161148,2,0,21.6792,C,Third,man,True,C,Cherbourg,no,False,1,1
50,0,3,female,18.0,1,0,17.8,S,Third,woman,False,C,Southampton,no,False,1,1
51,0,3,male,7.0,4,1,39.6875,S,Third,child,False,C,Southampton,no,False,1,1
52,0,3,male,21.0,0,0,7.8,S,Third,man,True,C,Southampton,no,True,1,1
53,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,2,1
54,1,2,female,29.0,1,0,26.0,S,Second,woman,False,C,Southampton,yes,False,3,1
55,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,2,1
56,1,1,male,30.72664459161148,0,0,35.5,S,First,man,True,C,Southampton,yes,True,2,1
57,1,2,female,21.0,0,0,10.5,S,Second,woman,False,C,Southampton,yes,True,3,1
58,0,3,male,28.5,0,0,7.2292,C,Third,man,True,C,Cherbourg,no,True,1,1
59,1,2,female,5.0,1,2,27.75,S,Second,child,False,C,Southampton,yes,False,3,1
60,0,3,male,11.0,5,2,46.9,S,Third,child,False,C,Southampton,no,False,1,1
61,0,3,male,22.0,0,0,7.2292,C,Third,man,True,C,Cherbourg,no,True,1,1
62,1,1,female,38.0,0,0,80.0,S,First,woman,False,B,Southampton,yes,True,2,1
63,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,2,1
64,0,3,male,4.0,3,2,27.9,S,Third,child,False,C,Southampton,no,False,1,1
65,0,1,male,30.72664459161148,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True,2,1
66,1,3,male,30.72664459161148,1,1,15.2458,C,Third,man,True,C,Cherbourg,yes,False,1,1
67,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,3,1
68,0,3,male,19.0,0,0,8.1583,S,Third,man,True,C,Southampton,no,True,1,1
69,1,3,female,17.0,4,2,7.925,S,Third,woman,False,C,Southampton,yes,False,1,1
70,0,3,male,26.0,2,0,8.6625,S,Third,man,True,C,Southampton,no,False,1,1
71,0,2,male,32.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,3,1
72,0,3,female,16.0,5,2,46.9,S,Third,woman,False,C,Southampton,no,False,1,1
73,0,2,male,21.0,0,0,73.5,S,Second,man,True,C,Southampton,no,True,3,1
74,0,3,male,26.0,1,0,14.4542,C,Third,man,True,C,Cherbourg,no,False,1,1
75,1,3,male,32.0,0,0,56.4958,S,Third,man,True,C,Southampton,yes,True,1,1
76,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,1,1
77,0,3,male,30.72664459161148,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,1
78,0,3,male,30.72664459161148,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1
79,1,2,male,0.83,0,2,29.0,S,Second,child,False,C,Southampton,yes,False,3,1
80,1,3,female,30.0,0,0,12.475,S,Third,woman,False,C,Southampton,yes,True,1,1
81,0,3,male,22.0,0,0,9.0,S,Third,man,True,C,Southampton,no,True,1,1
82,1,3,male,29.0,0,0,9.5,S,Third,man,True,C,Southampton,yes,True,1,1
83,1,3,female,27.915708812260537,0,0,7.7875,Q,Third,woman,False,C,Queenstown,yes,True,1,1
84,0,1,male,28.0,0,0,47.1,S,First,man,True,C,Southampton,no,True,2,1
85,1,2,female,17.0,0,0,10.5,S,Second,woman,False,C,Southampton,yes,True,3,1
86,1,3,female,33.0,3,0,15.85,S,Third,woman,False,C,Southampton,yes,False,1,1
87,0,3,male,16.0,1,3,34.375,S,Third,man,True,C,Southampton,no,False,1,1
88,0,3,male,30.72664459161148,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1
89,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,2,1
90,0,3,male,24.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1
91,0,3,male,29.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1
92,0,3,male,20.0,0,0,7.8542,S,Third,man,True,C,Southampton,no,True,1,1
93,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,2,1
94,0,3,male,26.0,1,2,20.575,S,Third,man,True,C,Southampton,no,False,1,1
95,0,3,male,59.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True,1,1
96,0,3,male,30.72664459161148,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1
97,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,2,1
98,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,2,1
99,1,2,female,34.0,0,1,23.0,S,Second,woman,False,C,Southampton,yes,False,3,1
100,0,2,male,34.0,1,0,26.0,S,Second,man,True,C,Southampton,no,False,3,1
101,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,C,Southampton,no,True,1,1
102,0,3,male,30.72664459161148,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,1
103,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,2,1
104,0,3,male,33.0,0,0,8.6542,S,Third,man,True,C,Southampton,no,True,1,1
105,0,3,male,37.0,2,0,7.925,S,Third,man,True,C,Southampton,no,False,1,1
106,0,3,male,28.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,1
107,1,3,female,21.0,0,0,7.65,S,Third,woman,False,C,Southampton,yes,True,1,1
108,1,3,male,30.72664459161148,0,0,7.775,S,Third,man,True,C,Southampton,yes,True,1,1
109,0,3,male,38.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,1
110,1,3,female,27.915708812260537,1,0,24.15,Q,Third,woman,False,C,Queenstown,yes,False,1,1
111,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,2,1
112,0,3,female,14.5,1,0,14.4542,C,Third,child,False,C,Cherbourg,no,False,1,1
113,0,3,male,22.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1
114,0,3,female,20.0,1,0,9.825,S,Third,woman,False,C,Southampton,no,False,1,1
115,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,C,Cherbourg,no,True,1,1
116,0,3,male,21.0,0,0,7.925,S,Third,man,True,C,Southampton,no,True,1,1
117,0,3,male,70.5,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,1,1
118,0,2,male,29.0,1,0,21.0,S,Second,man,True,C,Southampton,no,False,3,1
119,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,2,1
120,0,3,female,2.0,4,2,31.275,S,Third,child,False,C,Southampton,no,False,1,1
121,0,2,male,21.0,2,0,73.5,S,Second,man,True,C,Southampton,no,False,3,1
122,0,3,male,30.72664459161148,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1
123,0,2,male,32.5,1,0,30.0708,C,Second,man,True,C,Cherbourg,no,False,3,1
124,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,3,1
125,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,2,1
126,1,3,male,12.0,1,0,11.2417,C,Third,child,False,C,Cherbourg,yes,False,1,1
127,0,3,male,30.72664459161148,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,1,1
128,1,3,male,24.0,0,0,7.1417,S,Third,man,True,C,Southampton,yes,True,1,1
129,1,3,female,27.915708812260537,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,1,1
130,0,3,male,45.0,0,0,6.975,S,Third,man,True,C,Southampton,no,True,1,1
131,0,3,male,33.0,0,0,7.8958,C,Third,man,True,C,Cherbourg,no,True,1,1
132,0,3,male,20.0,0,0,7.05,S,Third,man,True,C,Southampton,no,True,1,1
133,0,3,female,47.0,1,0,14.5,S,Third,woman,False,C,Southampton,no,False,1,1
134,1,2,female,29.0,1,0,26.0,S,Second,woman,False,C,Southampton,yes,False,3,1
135,0,2,male,25.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,3,1
136,0,2,male,23.0,0,0,15.0458,C,Second,man,True,C,Cherbourg,no,True,3,1
137,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,2,1
138,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,2,1
139,0,3,male,16.0,0,0,9.2167,S,Third,man,True,C,Southampton,no,True,1,1
140,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,2,1
141,0,3,female,27.915708812260537,0,2,15.2458,C,Third,woman,False,C,Cherbourg,no,False,1,1
142,1,3,female,22.0,0,0,7.75,S,Third,woman,False,C,Southampton,yes,True,1,1
143,1,3,female,24.0,1,0,15.85,S,Third,woman,False,C,Southampton,yes,False,1,1
144,0,3,male,19.0,0,0,6.75,Q,Third,man,True,C,Queenstown,no,True,1,1
145,0,2,male,18.0,0,0,11.5,S,Second,man,True,C,Southampton,no,True,3,1
146,0,2,male,19.0,1,1,36.75,S,Second,man,True,C,Southampton,no,False,3,1
147,1,3,male,27.0,0,0,7.7958,S,Third,man,True,C,Southampton,yes,True,1,1
148,0,3,female,9.0,2,2,34.375,S,Third,child,False,C,Southampton,no,False,1,1
149,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,3,1
150,0,2,male,42.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,3,1
151,0,2,male,51.0,0,0,12.525,S,Second,man,True,C,Southampton,no,True,3,1
152,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,2,1
153,0,3,male,55.5,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1
154,0,3,male,40.5,0,2,14.5,S,Third,man,True,C,Southampton,no,False,1,1
155,0,3,male,30.72664459161148,0,0,7.3125,S,Third,man,True,C,Southampton,no,True,1,1
156,0,1,male,51.0,0,1,61.3792,C,First,man,True,C,Cherbourg,no,False,2,1
157,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,C,Queenstown,yes,True,1,1
158,0,3,male,30.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1
159,0,3,male,30.72664459161148,0,0,8.6625,S,Third,man,True,C,Southampton,no,True,1,1
160,0,3,male,30.72664459161148,8,2,69.55,S,Third,man,True,C,Southampton,no,False,1,1
161,0,3,male,44.0,0,1,16.1,S,Third,man,True,C,Southampton,no,False,1,1
162,1,2,female,40.0,0,0,15.75,S,Second,woman,False,C,Southampton,yes,True,3,1
163,0,3,male,26.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True,1,1
164,0,3,male,17.0,0,0,8.6625,S,Third,man,True,C,Southampton,no,True,1,1
165,0,3,male,1.0,4,1,39.6875,S,Third,child,False,C,Southampton,no,False,1,1
166,1,3,male,9.0,0,2,20.525,S,Third,child,False,C,Southampton,yes,False,1,1
167,1,1,female,27.915708812260537,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,2,1
168,0,3,female,45.0,1,4,27.9,S,Third,woman,False,C,Southampton,no,False,1,1
169,0,1,male,30.72664459161148,0,0,25.925,S,First,man,True,C,Southampton,no,True,2,1
170,0,3,male,28.0,0,0,56.4958,S,Third,man,True,C,Southampton,no,True,1,1
171,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,2,1
172,0,3,male,4.0,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False,1,1
173,1,3,female,1.0,1,1,11.1333,S,Third,child,False,C,Southampton,yes,False,1,1
174,0,3,male,21.0,0,0,7.925,S,Third,man,True,C,Southampton,no,True,1,1
175,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,2,1
176,0,3,male,18.0,1,1,7.8542,S,Third,man,True,C,Southampton,no,False,1,1
177,0,3,male,30.72664459161148,3,1,25.4667,S,Third,man,True,C,Southampton,no,False,1,1
178,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,2,1
179,0,2,male,30.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,3,1
180,0,3,male,36.0,0,0,0.0,S,Third,man,True,C,Southampton,no,True,1,1
181,0,3,female,27.915708812260537,8,2,69.55,S,Third,woman,False,C,Southampton,no,False,1,1
182,0,2,male,30.72664459161148,0,0,15.05,C,Second,man,True,C,Cherbourg,no,True,3,1
183,0,3,male,9.0,4,2,31.3875,S,Third,child,False,C,Southampton,no,False,1,1
184,1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,3,1
185,1,3,female,4.0,0,2,22.025,S,Third,child,False,C,Southampton,yes,False,1,1
186,0,1,male,30.72664459161148,0,0,50.0,S,First,man,True,A,Southampton,no,True,2,1
187,1,3,female,27.915708812260537,1,0,15.5,Q,Third,woman,False,C,Queenstown,yes,False,1,1
188,1,1,male,45.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True,2,1
189,0,3,male,40.0,1,1,15.5,Q,Third,man,True,C,Queenstown,no,False,1,1
190,0,3,male,36.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,1
191,1,2,female,32.0,0,0,13.0,S,Second,woman,False,C,Southampton,yes,True,3,1
192,0,2,male,19.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,3,1
193,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,C,Southampton,yes,False,1,1
194,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,3,1
195,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,2,1
196,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,2,1
197,0,3,male,30.72664459161148,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,1,1
198,0,3,male,42.0,0,1,8.4042,S,Third,man,True,C,Southampton,no,False,1,1
199,1,3,female,27.915708812260537,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,1,1
200,0,2,female,24.0,0,0,13.0,S,Second,woman,False,C,Southampton,no,True,3,1
201,0,3,male,28.0,0,0,9.5,S,Third,man,True,C,Southampton,no,True,1,1
202,0,3,male,30.72664459161148,8,2,69.55,S,Third,man,True,C,Southampton,no,False,1,1
203,0,3,male,34.0,0,0,6.4958,S,Third,man,True,C,Southampton,no,True,1,1
204,0,3,male,45.5,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True,1,1
205,1,3,male,18.0,0,0,8.05,S,Third,man,True,C,Southampton,yes,True,1,1
206,0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,1,1
207,0,3,male,32.0,1,0,15.85,S,Third,man,True,C,Southampton,no,False,1,1
208,1,3,male,26.0,0,0,18.7875,C,Third,man,True,C,Cherbourg,yes,True,1,1
209,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,1,1
210,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,2,1
211,0,3,male,24.0,0,0,7.05,S,Third,man,True,C,Southampton,no,True,1,1
212,1,2,female,35.0,0,0,21.0,S,Second,woman,False,C,Southampton,yes,True,3,1
213,0,3,male,22.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True,1,1
214,0,2,male,30.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,3,1
215,0,3,male,30.72664459161148,1,0,7.75,Q,Third,man,True,C,Queenstown,no,False,1,1
216,1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,2,1
217,1,3,female,27.0,0,0,7.925,S,Third,woman,False,C,Southampton,yes,True,1,1
218,0,2,male,42.0,1,0,27.0,S,Second,man,True,C,Southampton,no,False,3,1
219,1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,2,1
220,0,2,male,30.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,3,1
221,1,3,male,16.0,0,0,8.05,S,Third,man,True,C,Southampton,yes,True,1,1
222,0,2,male,27.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,3,1
223,0,3,male,51.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1
224,0,3,male,30.72664459161148,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,1
225,1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False,2,1
226,0,3,male,22.0,0,0,9.35,S,Third,man,True,C,Southampton,no,True,1,1
227,1,2,male,19.0,0,0,10.5,S,Second,man,True,C,Southampton,yes,True,3,1
228,0,3,male,20.5,0,0,7.25,S,Third,man,True,C,Southampton,no,True,1,1
229,0,2,male,18.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,3,1
230,0,3,female,27.915708812260537,3,1,25.4667,S,Third,woman,False,C,Southampton,no,False,1,1
231,1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False,2,1
232,0,3,male,29.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True,1,1
233,0,2,male,59.0,0,0,13.5,S,Second,man,True,C,Southampton,no,True,3,1
234,1,3,female,5.0,4,2,31.3875,S,Third,child,False,C,Southampton,yes,False,1,1
235,0,2,male,24.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,3,1
236,0,3,female,27.915708812260537,0,0,7.55,S,Third,woman,False,C,Southampton,no,True,1,1
237,0,2,male,44.0,1,0,26.0,S,Second,man,True,C,Southampton,no,False,3,1
238,1,2,female,8.0,0,2,26.25,S,Second,child,False,C,Southampton,yes,False,3,1
239,0,2,male,19.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,3,1
240,0,2,male,33.0,0,0,12.275,S,Second,man,True,C,Southampton,no,True,3,1
241,0,3,female,27.915708812260537,1,0,14.4542,C,Third,woman,False,C,Cherbourg,no,False,1,1
242,1,3,female,27.915708812260537,1,0,15.5,Q,Third,woman,False,C,Queenstown,yes,False,1,1
243,0,2,male,29.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,3,1
244,0,3,male,22.0,0,0,7.125,S,Third,man,True,C,Southampton,no,True,1,1
245,0,3,male,30.0,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True,1,1
246,0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,2,1
247,0,3,female,25.0,0,0,7.775,S,Third,woman,False,C,Southampton,no,True,1,1
248,1,2,female,24.0,0,2,14.5,S,Second,woman,False,C,Southampton,yes,False,3,1
249,1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False,2,1
250,0,2,male,54.0,1,0,26.0,S,Second,man,True,C,Southampton,no,False,3,1
251,0,3,male,30.72664459161148,0,0,7.25,S,Third,man,True,C,Southampton,no,True,1,1
252,0,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False,1,1
253,0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True,2,1
254,0,3,male,30.0,1,0,16.1,S,Third,man,True,C,Southampton,no,False,1,1
255,0,3,female,41.0,0,2,20.2125,S,Third,woman,False,C,Southampton,no,False,1,1
256,1,3,female,29.0,0,2,15.2458,C,Third,woman,False,C,Cherbourg,yes,False,1,1
257,1,1,female,27.915708812260537,0,0,79.2,C,First,woman,False,C,Cherbourg,yes,True,2,1
258,1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,2,1
259,1,1,female,35.0,0,0,512.3292,C,First,woman,False,C,Cherbourg,yes,True,2,1
260,1,2,female,50.0,0,1,26.0,S,Second,woman,False,C,Southampton,yes,False,3,1
261,0,3,male,30.72664459161148,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,1,1
262,1,3,male,3.0,4,2,31.3875,S,Third,child,False,C,Southampton,yes,False,1,1
263,0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False,2,1
264,0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True,2,1
265,0,3,female,27.915708812260537,0,0,7.75,Q,Third,woman,False,C,Queenstown,no,True,1,1
266,0,2,male,36.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,3,1
267,0,3,male,16.0,4,1,39.6875,S,Third,man,True,C,Southampton,no,False,1,1
268,1,3,male,25.0,1,0,7.775,S,Third,man,True,C,Southampton,yes,False,1,1
269,1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False,2,1
270,1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True,2,1
271,0,1,male,30.72664459161148,0,0,31.0,S,First,man,True,C,Southampton,no,True,2,1
272,1,3,male,25.0,0,0,0.0,S,Third,man,True,C,Southampton,yes,True,1,1
273,1,2,female,41.0,0,1,19.5,S,Second,woman,False,C,Southampton,yes,False,3,1
274,0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False,2,1
275,1,3,female,27.915708812260537,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,1,1
276,1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,2,1
277,0,3,female,45.0,0,0,7.75,S,Third,woman,False,C,Southampton,no,True,1,1
278,0,2,male,30.72664459161148,0,0,0.0,S,Second,man,True,C,Southampton,no,True,3,1
279,0,3,male,7.0,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False,1,1
280,1,3,female,35.0,1,1,20.25,S,Third,woman,False,C,Southampton,yes,False,1,1
281,0,3,male,65.0,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,1,1
282,0,3,male,28.0,0,0,7.8542,S,Third,man,True,C,Southampton,no,True,1,1
283,0,3,male,16.0,0,0,9.5,S,Third,man,True,C,Southampton,no,True,1,1
284,1,3,male,19.0,0,0,8.05,S,Third,man,True,C,Southampton,yes,True,1,1
285,0,1,male,30.72664459161148,0,0,26.0,S,First,man,True,A,Southampton,no,True,2,1
286,0,3,male,33.0,0,0,8.6625,C,Third,man,True,C,Cherbourg,no,True,1,1
287,1,3,male,30.0,0,0,9.5,S,Third,man,True,C,Southampton,yes,True,1,1
288,0,3,male,22.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,1
289,1,2,male,42.0,0,0,13.0,S,Second,man,True,C,Southampton,yes,True,3,1
290,1,3,female,22.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,1,1
291,1,1,female,26.0,0,0,78.85,S,First,woman,False,C,Southampton,yes,True,2,1
292,1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False,2,1
293,0,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True,3,1
294,0,3,female,24.0,0,0,8.85,S,Third,woman,False,C,Southampton,no,True,1,1
295,0,3,male,24.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,1
296,0,1,male,30.72664459161148,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True,2,1
297,0,3,male,23.5,0,0,7.2292,C,Third,man,True,C,Cherbourg,no,True,1,1
298,0,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False,2,1
299,1,1,male,30.72664459161148,0,0,30.5,S,First,man,True,C,Southampton,yes,True,2,1
300,1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False,2,1
